year,obs,name,index
2002,1.026778209,UTWLL_SW,19
2003,0.648226172,UTWLL_SW,19
2004,0.805152196,UTWLL_SW,19
2005,0.440923959,UTWLL_SW,19
2006,0.2214485,UTWLL_SW,19
2007,0.213214816,UTWLL_SW,19
2008,0.22341319,UTWLL_SW,19
2009,0.234786663,UTWLL_SW,19
2010,0.233595952,UTWLL_SW,19
2011,0.274273821,UTWLL_SW,19
2012,0.392140348,UTWLL_SW,19
2013,0.184253027,UTWLL_SW,19
2014,0.1497053,UTWLL_SW,19
2015,0.145195264,UTWLL_SW,19
1994,0.869177428,UTWLL_SE,20
1995,0.609615753,UTWLL_SE,20
1996,0.686896534,UTWLL_SE,20
1997,0.824420146,UTWLL_SE,20
1998,0.831379539,UTWLL_SE,20
1999,0.656044241,UTWLL_SE,20
2000,0.709444979,UTWLL_SE,20
2001,0.656569796,UTWLL_SE,20
2002,0.762427983,UTWLL_SE,20
2003,0.717258141,UTWLL_SE,20
2004,0.703134076,UTWLL_SE,20
2005,0.370138369,UTWLL_SE,20
2006,0.312058212,UTWLL_SE,20
2007,0.287865876,UTWLL_SE,20
2008,0.411759062,UTWLL_SE,20
2009,0.44167979,UTWLL_SE,20
2010,0.409349797,UTWLL_SE,20
2011,0.42100103,UTWLL_SE,20
2012,0.354969961,UTWLL_SE,20
2013,0.470042848,UTWLL_SE,20
2014,0.54751848,UTWLL_SE,20
2015,0.401778535,UTWLL_SE,20
2000,835.0898,UPOR_SW,21
2001,841.8694,UPOR_SW,21
2002,811.9153,UPOR_SW,21
2003,792.9739,UPOR_SW,21
2004,665.1569,UPOR_SW,21
2005,514.4074,UPOR_SW,21
2006,659.2923,UPOR_SW,21
2007,676.0256,UPOR_SW,21
2008,817.1556,UPOR_SW,21
2009,516.7985,UPOR_SW,21
2010,583.3646,UPOR_SW,21
2011,614.5315,UPOR_SW,21
2012,610.9853,UPOR_SW,21
2013,559.1052,UPOR_SW,21
2014,476.2171,UPOR_SW,21
2015,620.4242,UPOR_SW,21
